timestamp,source,class,confidence,frame_path
2025-07-30T10:57:56.011881,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7568812370300293,
2025-07-30T10:58:02.155163,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7477399110794067,
2025-07-30T10:58:02.987336,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.6642017960548401,
2025-07-30T10:58:03.500383,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8032874464988708,
2025-07-30T10:58:04.107102,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.725040078163147,
2025-07-30T10:58:05.782782,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.5568618178367615,
2025-07-30T10:58:06.897514,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7667893767356873,
2025-07-30T10:58:07.317986,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.6391357779502869,
2025-07-30T10:58:07.831178,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7421777248382568,
2025-07-30T10:58:08.352356,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7271047830581665,
2025-07-30T10:58:08.773061,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.5547976493835449,
2025-07-30T10:58:10.084577,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.708219051361084,
2025-07-30T10:58:10.784896,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8065287470817566,
2025-07-30T10:58:11.131844,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8062840104103088,
2025-07-30T10:58:11.598469,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7638348340988159,
2025-07-30T10:58:11.960510,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8143582940101624,
2025-07-30T10:58:12.338426,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8172800540924072,
2025-07-30T10:58:12.924553,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8269432187080383,
2025-07-30T10:58:13.237371,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.6906030774116516,
2025-07-30T10:58:14.153174,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.5691062808036804,
2025-07-30T10:58:14.539816,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.6475010514259338,
2025-07-30T10:58:15.860647,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8076872825622559,
2025-07-30T10:58:17.471961,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.5553169846534729,
2025-07-30T10:58:17.765358,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.6395467519760132,
2025-07-30T10:58:21.030498,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.5664107799530029,
2025-07-30T10:58:21.326179,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.6770114898681641,
2025-07-30T10:58:22.620706,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.5195275545120239,
2025-07-30T10:58:24.813632,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.547463595867157,
2025-07-30T10:58:26.074936,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8136265277862549,
2025-07-30T10:58:26.409691,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8259499669075012,
2025-07-30T10:58:26.784571,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.7775207161903381,
2025-07-30T10:58:27.202729,video_upload,weapon dataset - v4 2024-10-02 7-18am,0.8347751498222351,
